t,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60,d_61,d_62,d_63,d_64,d_65,d_66,d_67,d_68,d_69,d_70,d_71,d_72,d_73
221,63.0,56.4,104.5,43.1,41.5,79.6,73.0,99.5,101.2,112.8,0.0,0.0,154.3,112.8,184.2,58.1,0.0,194.1,106.2,74.7,0.0,0.0,0.0,0.0,63.0,56.4,104.5,43.1,41.5,79.6,73.0,99.5,101.2,112.8,0.0,0.0,154.3,112.8,184.2,58.1,0.0,194.1,106.2,74.7,0.0,0.0,0.0,0.0,63.0,56.4,104.5,43.1,41.5,79.6,73.0,99.5,101.2,112.8,0.0,0.0,154.3,112.8,184.2,58.1,0.0,194.1,106.2,74.7,0.0,0.0,0.0,0.0,0.0
222,77.8,69.6,128.9,53.2,51.2,98.2,90.0,122.8,124.8,139.1,0.0,0.0,190.3,139.1,227.1,71.6,0.0,239.4,131.0,92.1,0.0,0.0,0.0,0.0,77.8,69.6,128.9,53.2,51.2,98.2,90.0,122.8,124.8,139.1,0.0,0.0,190.3,139.1,227.1,71.6,0.0,239.4,131.0,92.1,0.0,0.0,0.0,0.0,77.8,69.6,128.9,53.2,51.2,98.2,90.0,122.8,124.8,139.1,0.0,0.0,190.3,139.1,227.1,71.6,0.0,239.4,131.0,92.1,0.0,0.0,0.0,0.0,0.0
223,90.4,80.9,149.8,61.8,59.4,114.1,104.6,142.7,145.1,161.7,0.0,0.0,221.2,161.7,264.0,83.2,0.0,278.2,152.2,107.0,0.0,0.0,0.0,0.0,90.4,80.9,149.8,61.8,59.4,114.1,104.6,142.7,145.1,161.7,0.0,0.0,221.2,161.7,264.0,83.2,0.0,278.2,152.2,107.0,0.0,0.0,0.0,0.0,90.4,80.9,149.8,61.8,59.4,114.1,104.6,142.7,145.1,161.7,0.0,0.0,221.2,161.7,264.0,83.2,0.0,278.2,152.2,107.0,0.0,0.0,0.0,0.0,0.0
224,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,0.0
225,100.9,90.3,167.2,69.0,66.4,127.4,116.8,159.3,161.9,180.5,0.0,0.0,246.9,180.5,294.6,92.9,0.0,310.6,169.9,119.5,0.0,0.0,0.0,0.0,100.9,90.3,167.2,69.0,66.4,127.4,116.8,159.3,161.9,180.5,0.0,0.0,246.9,180.5,294.6,92.9,0.0,310.6,169.9,119.5,0.0,0.0,0.0,0.0,100.9,90.3,167.2,69.0,66.4,127.4,116.8,159.3,161.9,180.5,0.0,0.0,246.9,180.5,294.6,92.9,0.0,310.6,169.9,119.5,0.0,0.0,0.0,0.0,0.0
226,100.9,90.3,167.2,69.0,66.4,127.4,116.8,159.3,161.9,180.5,0.0,0.0,246.9,180.5,294.6,92.9,0.0,310.6,169.9,119.5,0.0,0.0,0.0,0.0,100.9,90.3,167.2,69.0,66.4,127.4,116.8,159.3,161.9,180.5,0.0,0.0,246.9,180.5,294.6,92.9,0.0,310.6,169.9,119.5,0.0,0.0,0.0,0.0,100.9,90.3,167.2,69.0,66.4,127.4,116.8,159.3,161.9,180.5,0.0,0.0,246.9,180.5,294.6,92.9,0.0,310.6,169.9,119.5,0.0,0.0,0.0,0.0,0.0
227,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,0.0
228,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,0.0
229,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,99.8,89.3,165.5,68.3,65.7,126.1,115.6,157.6,160.2,178.6,0.0,0.0,244.3,178.6,291.6,91.9,0.0,307.3,168.1,118.2,0.0,0.0,0.0,0.0,0.0
230,97.7,87.4,162.0,66.9,64.3,123.4,113.1,154.3,156.9,174.9,0.0,0.0,239.2,174.9,285.4,90.0,0.0,300.9,164.6,115.7,0.0,0.0,0.0,0.0,97.7,87.4,162.0,66.9,64.3,123.4,113.1,154.3,156.9,174.9,0.0,0.0,239.2,174.9,285.4,90.0,0.0,300.9,164.6,115.7,0.0,0.0,0.0,0.0,97.7,87.4,162.0,66.9,64.3,123.4,113.1,154.3,156.9,174.9,0.0,0.0,239.2,174.9,285.4,90.0,0.0,300.9,164.6,115.7,0.0,0.0,0.0,0.0,0.0
231,98.8,88.4,163.7,67.6,65.0,124.8,114.4,155.9,158.5,176.7,0.0,0.0,241.7,176.7,288.5,91.0,0.0,304.1,166.3,117.0,0.0,0.0,0.0,0.0,98.8,88.4,163.7,67.6,65.0,124.8,114.4,155.9,158.5,176.7,0.0,0.0,241.7,176.7,288.5,91.0,0.0,304.1,166.3,117.0,0.0,0.0,0.0,0.0,98.8,88.4,163.7,67.6,65.0,124.8,114.4,155.9,158.5,176.7,0.0,0.0,241.7,176.7,288.5,91.0,0.0,304.1,166.3,117.0,0.0,0.0,0.0,0.0,0.0
232,104.0,93.1,172.5,71.2,68.4,131.4,120.4,164.2,167.0,186.1,0.0,0.0,254.6,186.1,303.9,95.8,0.0,320.3,175.2,123.2,0.0,0.0,0.0,0.0,104.0,93.1,172.5,71.2,68.4,131.4,120.4,164.2,167.0,186.1,0.0,0.0,254.6,186.1,303.9,95.8,0.0,320.3,175.2,123.2,0.0,0.0,0.0,0.0,104.0,93.1,172.5,71.2,68.4,131.4,120.4,164.2,167.0,186.1,0.0,0.0,254.6,186.1,303.9,95.8,0.0,320.3,175.2,123.2,0.0,0.0,0.0,0.0,0.0
233,105.1,94.0,174.2,71.9,69.1,132.7,121.7,165.9,168.7,188.0,0.0,0.0,257.2,188.0,306.9,96.8,0.0,323.5,177.0,124.4,0.0,0.0,0.0,0.0,105.1,94.0,174.2,71.9,69.1,132.7,121.7,165.9,168.7,188.0,0.0,0.0,257.2,188.0,306.9,96.8,0.0,323.5,177.0,124.4,0.0,0.0,0.0,0.0,105.1,94.0,174.2,71.9,69.1,132.7,121.7,165.9,168.7,188.0,0.0,0.0,257.2,188.0,306.9,96.8,0.0,323.5,177.0,124.4,0.0,0.0,0.0,0.0,0.0
234,105.1,94.0,174.2,71.9,69.1,132.7,121.7,165.9,168.7,188.0,0.0,0.0,257.2,188.0,306.9,96.8,0.0,323.5,177.0,124.4,0.0,0.0,0.0,0.0,105.1,94.0,174.2,71.9,69.1,132.7,121.7,165.9,168.7,188.0,0.0,0.0,257.2,188.0,306.9,96.8,0.0,323.5,177.0,124.4,0.0,0.0,0.0,0.0,105.1,94.0,174.2,71.9,69.1,132.7,121.7,165.9,168.7,188.0,0.0,0.0,257.2,188.0,306.9,96.8,0.0,323.5,177.0,124.4,0.0,0.0,0.0,0.0,0.0
235,100.9,90.3,167.2,69.0,66.4,127.4,116.8,159.3,161.9,180.5,0.0,0.0,246.9,180.5,294.6,92.9,0.0,310.6,169.9,119.5,0.0,0.0,0.0,0.0,100.9,90.3,167.2,69.0,66.4,127.4,116.8,159.3,161.9,180.5,0.0,0.0,246.9,180.5,294.6,92.9,0.0,310.6,169.9,119.5,0.0,0.0,0.0,0.0,100.9,90.3,167.2,69.0,66.4,127.4,116.8,159.3,161.9,180.5,0.0,0.0,246.9,180.5,294.6,92.9,0.0,310.6,169.9,119.5,0.0,0.0,0.0,0.0,0.0
236,95.6,85.6,158.5,65.4,62.9,120.8,110.7,151.0,153.5,171.1,0.0,0.0,234.0,171.1,279.3,88.1,0.0,294.4,161.0,113.2,0.0,0.0,0.0,0.0,95.6,85.6,158.5,65.4,62.9,120.8,110.7,151.0,153.5,171.1,0.0,0.0,234.0,171.1,279.3,88.1,0.0,294.4,161.0,113.2,0.0,0.0,0.0,0.0,95.6,85.6,158.5,65.4,62.9,120.8,110.7,151.0,153.5,171.1,0.0,0.0,234.0,171.1,279.3,88.1,0.0,294.4,161.0,113.2,0.0,0.0,0.0,0.0,0.0
237,87.2,78.0,144.6,59.7,57.4,110.2,101.0,137.7,140.0,156.1,0.0,0.0,213.4,156.1,254.7,80.3,0.0,268.5,146.9,103.3,0.0,0.0,0.0,0.0,87.2,78.0,144.6,59.7,57.4,110.2,101.0,137.7,140.0,156.1,0.0,0.0,213.4,156.1,254.7,80.3,0.0,268.5,146.9,103.3,0.0,0.0,0.0,0.0,87.2,78.0,144.6,59.7,57.4,110.2,101.0,137.7,140.0,156.1,0.0,0.0,213.4,156.1,254.7,80.3,0.0,268.5,146.9,103.3,0.0,0.0,0.0,0.0,0.0
238,76.7,68.6,127.2,52.5,50.5,96.9,88.8,121.1,123.1,137.3,0.0,0.0,187.7,137.3,224.1,70.6,0.0,236.2,129.2,90.8,0.0,0.0,0.0,0.0,76.7,68.6,127.2,52.5,50.5,96.9,88.8,121.1,123.1,137.3,0.0,0.0,187.7,137.3,224.1,70.6,0.0,236.2,129.2,90.8,0.0,0.0,0.0,0.0,76.7,68.6,127.2,52.5,50.5,96.9,88.8,121.1,123.1,137.3,0.0,0.0,187.7,137.3,224.1,70.6,0.0,236.2,129.2,90.8,0.0,0.0,0.0,0.0,0.0
239,66.2,59.2,109.7,45.3,43.5,83.6,76.6,104.5,106.3,118.5,0.0,0.0,162.0,118.5,193.4,61.0,0.0,203.8,111.5,78.4,0.0,0.0,0.0,0.0,66.2,59.2,109.7,45.3,43.5,83.6,76.6,104.5,106.3,118.5,0.0,0.0,162.0,118.5,193.4,61.0,0.0,203.8,111.5,78.4,0.0,0.0,0.0,0.0,66.2,59.2,109.7,45.3,43.5,83.6,76.6,104.5,106.3,118.5,0.0,0.0,162.0,118.5,193.4,61.0,0.0,203.8,111.5,78.4,0.0,0.0,0.0,0.0,0.0
240,69.0,61.7,114.3,47.2,45.4,87.1,79.9,108.9,110.7,123.4,0.0,0.0,168.8,123.4,201.4,63.5,0.0,212.3,116.1,81.7,0.0,0.0,0.0,0.0,69.0,61.7,114.3,47.2,45.4,87.1,79.9,108.9,110.7,123.4,0.0,0.0,168.8,123.4,201.4,63.5,0.0,212.3,116.1,81.7,0.0,0.0,0.0,0.0,69.0,61.7,114.3,47.2,45.4,87.1,79.9,108.9,110.7,123.4,0.0,0.0,168.8,123.4,201.4,63.5,0.0,212.3,116.1,81.7,0.0,0.0,0.0,0.0,0.0
241,64.8,58.0,107.5,44.4,42.7,81.9,75.1,102.4,104.1,116.0,0.0,0.0,158.7,116.0,189.4,59.7,0.0,199.7,109.2,76.8,0.0,0.0,0.0,0.0,64.8,58.0,107.5,44.4,42.7,81.9,75.1,102.4,104.1,116.0,0.0,0.0,158.7,116.0,189.4,59.7,0.0,199.7,109.2,76.8,0.0,0.0,0.0,0.0,64.8,58.0,107.5,44.4,42.7,81.9,75.1,102.4,104.1,116.0,0.0,0.0,158.7,116.0,189.4,59.7,0.0,199.7,109.2,76.8,0.0,0.0,0.0,0.0,0.0
242,61.8,55.3,102.4,42.3,40.6,78.0,71.5,97.5,99.1,110.5,0.0,0.0,151.1,110.5,180.4,56.9,0.0,190.1,104.0,73.1,0.0,0.0,0.0,0.0,61.8,55.3,102.4,42.3,40.6,78.0,71.5,97.5,99.1,110.5,0.0,0.0,151.1,110.5,180.4,56.9,0.0,190.1,104.0,73.1,0.0,0.0,0.0,0.0,61.8,55.3,102.4,42.3,40.6,78.0,71.5,97.5,99.1,110.5,0.0,0.0,151.1,110.5,180.4,56.9,0.0,190.1,104.0,73.1,0.0,0.0,0.0,0.0,0.0
243,60.7,54.3,100.7,41.6,40.0,76.7,70.3,95.9,97.5,108.7,0.0,0.0,148.6,108.7,177.4,55.9,0.0,187.0,102.3,71.9,0.0,0.0,0.0,0.0,60.7,54.3,100.7,41.6,40.0,76.7,70.3,95.9,97.5,108.7,0.0,0.0,148.6,108.7,177.4,55.9,0.0,187.0,102.3,71.9,0.0,0.0,0.0,0.0,60.7,54.3,100.7,41.6,40.0,76.7,70.3,95.9,97.5,108.7,0.0,0.0,148.6,108.7,177.4,55.9,0.0,187.0,102.3,71.9,0.0,0.0,0.0,0.0,0.0
244,60.7,54.3,100.7,41.6,40.0,76.7,70.3,95.9,97.5,108.7,0.0,0.0,148.6,108.7,177.4,55.9,0.0,187.0,102.3,71.9,0.0,0.0,0.0,0.0,60.7,54.3,100.7,41.6,40.0,76.7,70.3,95.9,97.5,108.7,0.0,0.0,148.6,108.7,177.4,55.9,0.0,187.0,102.3,71.9,0.0,0.0,0.0,0.0,60.7,54.3,100.7,41.6,40.0,76.7,70.3,95.9,97.5,108.7,0.0,0.0,148.6,108.7,177.4,55.9,0.0,187.0,102.3,71.9,0.0,0.0,0.0,0.0,0.0
245,61.8,55.3,102.4,42.3,40.6,78.0,71.5,97.5,99.1,110.5,0.0,0.0,151.1,110.5,180.4,56.9,0.0,190.1,104.0,73.1,0.0,0.0,0.0,0.0,61.8,55.3,102.4,42.3,40.6,78.0,71.5,97.5,99.1,110.5,0.0,0.0,151.1,110.5,180.4,56.9,0.0,190.1,104.0,73.1,0.0,0.0,0.0,0.0,61.8,55.3,102.4,42.3,40.6,78.0,71.5,97.5,99.1,110.5,0.0,0.0,151.1,110.5,180.4,56.9,0.0,190.1,104.0,73.1,0.0,0.0,0.0,0.0,0.0
246,76.2,68.1,126.3,52.1,50.1,96.2,88.2,120.3,122.3,136.3,0.0,0.0,186.4,136.3,222.5,70.2,0.0,234.5,128.3,90.2,0.0,0.0,0.0,0.0,76.2,68.1,126.3,52.1,50.1,96.2,88.2,120.3,122.3,136.3,0.0,0.0,186.4,136.3,222.5,70.2,0.0,234.5,128.3,90.2,0.0,0.0,0.0,0.0,76.2,68.1,126.3,52.1,50.1,96.2,88.2,120.3,122.3,136.3,0.0,0.0,186.4,136.3,222.5,70.2,0.0,234.5,128.3,90.2,0.0,0.0,0.0,0.0,0.0
247,88.5,79.2,146.8,60.6,58.2,111.8,102.5,139.8,142.1,158.4,0.0,0.0,216.6,158.4,258.6,81.5,0.0,272.5,149.1,104.8,0.0,0.0,0.0,0.0,88.5,79.2,146.8,60.6,58.2,111.8,102.5,139.8,142.1,158.4,0.0,0.0,216.6,158.4,258.6,81.5,0.0,272.5,149.1,104.8,0.0,0.0,0.0,0.0,88.5,79.2,146.8,60.6,58.2,111.8,102.5,139.8,142.1,158.4,0.0,0.0,216.6,158.4,258.6,81.5,0.0,272.5,149.1,104.8,0.0,0.0,0.0,0.0,0.0
248,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,0.0
249,98.8,88.4,163.8,67.6,65.0,124.8,114.4,156.0,158.6,176.8,0.0,0.0,241.8,176.8,288.6,91.0,0.0,304.2,166.4,117.0,0.0,0.0,0.0,0.0,98.8,88.4,163.8,67.6,65.0,124.8,114.4,156.0,158.6,176.8,0.0,0.0,241.8,176.8,288.6,91.0,0.0,304.2,166.4,117.0,0.0,0.0,0.0,0.0,98.8,88.4,163.8,67.6,65.0,124.8,114.4,156.0,158.6,176.8,0.0,0.0,241.8,176.8,288.6,91.0,0.0,304.2,166.4,117.0,0.0,0.0,0.0,0.0,0.0
250,98.8,88.4,163.8,67.6,65.0,124.8,114.4,156.0,158.6,176.8,0.0,0.0,241.8,176.8,288.6,91.0,0.0,304.2,166.4,117.0,0.0,0.0,0.0,0.0,98.8,88.4,163.8,67.6,65.0,124.8,114.4,156.0,158.6,176.8,0.0,0.0,241.8,176.8,288.6,91.0,0.0,304.2,166.4,117.0,0.0,0.0,0.0,0.0,98.8,88.4,163.8,67.6,65.0,124.8,114.4,156.0,158.6,176.8,0.0,0.0,241.8,176.8,288.6,91.0,0.0,304.2,166.4,117.0,0.0,0.0,0.0,0.0,0.0
251,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,0.0
252,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,0.0
253,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,97.8,87.5,162.1,66.9,64.3,123.5,113.2,154.4,157.0,175.0,0.0,0.0,239.3,175.0,285.6,90.1,0.0,301.1,164.7,115.8,0.0,0.0,0.0,0.0,0.0
254,95.7,85.6,158.7,65.5,63.0,120.9,110.8,151.1,153.7,171.3,0.0,0.0,234.3,171.3,279.6,88.2,0.0,294.7,161.2,113.4,0.0,0.0,0.0,0.0,95.7,85.6,158.7,65.5,63.0,120.9,110.8,151.1,153.7,171.3,0.0,0.0,234.3,171.3,279.6,88.2,0.0,294.7,161.2,113.4,0.0,0.0,0.0,0.0,95.7,85.6,158.7,65.5,63.0,120.9,110.8,151.1,153.7,171.3,0.0,0.0,234.3,171.3,279.6,88.2,0.0,294.7,161.2,113.4,0.0,0.0,0.0,0.0,0.0
255,96.8,86.6,160.4,66.2,63.7,122.2,112.0,152.8,155.3,173.1,0.0,0.0,236.8,173.1,282.6,89.1,0.0,297.9,163.0,114.6,0.0,0.0,0.0,0.0,96.8,86.6,160.4,66.2,63.7,122.2,112.0,152.8,155.3,173.1,0.0,0.0,236.8,173.1,282.6,89.1,0.0,297.9,163.0,114.6,0.0,0.0,0.0,0.0,96.8,86.6,160.4,66.2,63.7,122.2,112.0,152.8,155.3,173.1,0.0,0.0,236.8,173.1,282.6,89.1,0.0,297.9,163.0,114.6,0.0,0.0,0.0,0.0,0.0
256,101.9,91.2,168.9,69.7,67.0,128.7,118.0,160.9,163.6,182.3,0.0,0.0,249.4,182.3,297.7,93.9,0.0,313.7,171.6,120.7,0.0,0.0,0.0,0.0,101.9,91.2,168.9,69.7,67.0,128.7,118.0,160.9,163.6,182.3,0.0,0.0,249.4,182.3,297.7,93.9,0.0,313.7,171.6,120.7,0.0,0.0,0.0,0.0,101.9,91.2,168.9,69.7,67.0,128.7,118.0,160.9,163.6,182.3,0.0,0.0,249.4,182.3,297.7,93.9,0.0,313.7,171.6,120.7,0.0,0.0,0.0,0.0,0.0
257,102.9,92.1,170.6,70.4,67.7,130.0,119.2,162.5,165.2,184.2,0.0,0.0,251.9,184.2,300.7,94.8,0.0,316.9,173.4,121.9,0.0,0.0,0.0,0.0,102.9,92.1,170.6,70.4,67.7,130.0,119.2,162.5,165.2,184.2,0.0,0.0,251.9,184.2,300.7,94.8,0.0,316.9,173.4,121.9,0.0,0.0,0.0,0.0,102.9,92.1,170.6,70.4,67.7,130.0,119.2,162.5,165.2,184.2,0.0,0.0,251.9,184.2,300.7,94.8,0.0,316.9,173.4,121.9,0.0,0.0,0.0,0.0,0.0
258,102.9,92.1,170.6,70.4,67.7,130.0,119.2,162.5,165.2,184.2,0.0,0.0,251.9,184.2,300.7,94.8,0.0,316.9,173.4,121.9,0.0,0.0,0.0,0.0,102.9,92.1,170.6,70.4,67.7,130.0,119.2,162.5,165.2,184.2,0.0,0.0,251.9,184.2,300.7,94.8,0.0,316.9,173.4,121.9,0.0,0.0,0.0,0.0,102.9,92.1,170.6,70.4,67.7,130.0,119.2,162.5,165.2,184.2,0.0,0.0,251.9,184.2,300.7,94.8,0.0,316.9,173.4,121.9,0.0,0.0,0.0,0.0,0.0
259,98.8,88.4,163.8,67.6,65.0,124.8,114.4,156.0,158.6,176.8,0.0,0.0,241.8,176.8,288.6,91.0,0.0,304.2,166.4,117.0,0.0,0.0,0.0,0.0,98.8,88.4,163.8,67.6,65.0,124.8,114.4,156.0,158.6,176.8,0.0,0.0,241.8,176.8,288.6,91.0,0.0,304.2,166.4,117.0,0.0,0.0,0.0,0.0,98.8,88.4,163.8,67.6,65.0,124.8,114.4,156.0,158.6,176.8,0.0,0.0,241.8,176.8,288.6,91.0,0.0,304.2,166.4,117.0,0.0,0.0,0.0,0.0,0.0
260,93.7,83.8,155.3,64.1,61.6,118.3,108.5,147.9,150.4,167.6,0.0,0.0,229.2,167.6,273.6,86.3,0.0,288.4,157.8,110.9,0.0,0.0,0.0,0.0,93.7,83.8,155.3,64.1,61.6,118.3,108.5,147.9,150.4,167.6,0.0,0.0,229.2,167.6,273.6,86.3,0.0,288.4,157.8,110.9,0.0,0.0,0.0,0.0,93.7,83.8,155.3,64.1,61.6,118.3,108.5,147.9,150.4,167.6,0.0,0.0,229.2,167.6,273.6,86.3,0.0,288.4,157.8,110.9,0.0,0.0,0.0,0.0,0.0
261,85.4,76.4,141.6,58.5,56.2,107.9,98.9,134.9,137.1,152.9,0.0,0.0,209.1,152.9,249.5,78.7,0.0,263.0,143.9,101.2,0.0,0.0,0.0,0.0,85.4,76.4,141.6,58.5,56.2,107.9,98.9,134.9,137.1,152.9,0.0,0.0,209.1,152.9,249.5,78.7,0.0,263.0,143.9,101.2,0.0,0.0,0.0,0.0,85.4,76.4,141.6,58.5,56.2,107.9,98.9,134.9,137.1,152.9,0.0,0.0,209.1,152.9,249.5,78.7,0.0,263.0,143.9,101.2,0.0,0.0,0.0,0.0,0.0
262,75.1,67.2,124.6,51.4,49.4,94.9,87.0,118.6,120.6,134.5,0.0,0.0,183.9,134.5,219.5,69.2,0.0,231.3,126.5,89.0,0.0,0.0,0.0,0.0,75.1,67.2,124.6,51.4,49.4,94.9,87.0,118.6,120.6,134.5,0.0,0.0,183.9,134.5,219.5,69.2,0.0,231.3,126.5,89.0,0.0,0.0,0.0,0.0,75.1,67.2,124.6,51.4,49.4,94.9,87.0,118.6,120.6,134.5,0.0,0.0,183.9,134.5,219.5,69.2,0.0,231.3,126.5,89.0,0.0,0.0,0.0,0.0,0.0
263,64.8,58.0,107.5,44.4,42.7,81.9,75.1,102.4,104.1,116.0,0.0,0.0,158.7,116.0,189.4,59.7,0.0,199.7,109.2,76.8,0.0,0.0,0.0,0.0,64.8,58.0,107.5,44.4,42.7,81.9,75.1,102.4,104.1,116.0,0.0,0.0,158.7,116.0,189.4,59.7,0.0,199.7,109.2,76.8,0.0,0.0,0.0,0.0,64.8,58.0,107.5,44.4,42.7,81.9,75.1,102.4,104.1,116.0,0.0,0.0,158.7,116.0,189.4,59.7,0.0,199.7,109.2,76.8,0.0,0.0,0.0,0.0,0.0
264,67.5,60.4,111.9,46.2,44.4,85.3,78.2,106.6,108.4,120.8,0.0,0.0,165.3,120.8,197.2,62.2,0.0,207.9,113.7,80.0,0.0,0.0,0.0,0.0,67.5,60.4,111.9,46.2,44.4,85.3,78.2,106.6,108.4,120.8,0.0,0.0,165.3,120.8,197.2,62.2,0.0,207.9,113.7,80.0,0.0,0.0,0.0,0.0,67.5,60.4,111.9,46.2,44.4,85.3,78.2,106.6,108.4,120.8,0.0,0.0,165.3,120.8,197.2,62.2,0.0,207.9,113.7,80.0,0.0,0.0,0.0,0.0,0.0
265,63.5,56.8,105.3,43.4,41.8,80.2,73.5,100.3,101.9,113.6,0.0,0.0,155.4,113.6,185.5,58.5,0.0,195.5,106.9,75.2,0.0,0.0,0.0,0.0,63.5,56.8,105.3,43.4,41.8,80.2,73.5,100.3,101.9,113.6,0.0,0.0,155.4,113.6,185.5,58.5,0.0,195.5,106.9,75.2,0.0,0.0,0.0,0.0,63.5,56.8,105.3,43.4,41.8,80.2,73.5,100.3,101.9,113.6,0.0,0.0,155.4,113.6,185.5,58.5,0.0,195.5,106.9,75.2,0.0,0.0,0.0,0.0,0.0
266,60.5,54.1,100.3,41.4,39.8,76.4,70.0,95.5,97.1,108.2,0.0,0.0,148.0,108.2,176.6,55.7,0.0,186.2,101.8,71.6,0.0,0.0,0.0,0.0,60.5,54.1,100.3,41.4,39.8,76.4,70.0,95.5,97.1,108.2,0.0,0.0,148.0,108.2,176.6,55.7,0.0,186.2,101.8,71.6,0.0,0.0,0.0,0.0,60.5,54.1,100.3,41.4,39.8,76.4,70.0,95.5,97.1,108.2,0.0,0.0,148.0,108.2,176.6,55.7,0.0,186.2,101.8,71.6,0.0,0.0,0.0,0.0,0.0
